id,specific_event,abstract_event,trigger
580,地表扭曲下沉,状态变化,扭曲下沉
581,中新社成都五月十二日电,声明,电
582,市区主要街道看到房屋倒塌现象,感知,看到
583,四川省阿坝州汶川县境内地震,紧急情况,地震
584,震区通讯中断,状态变化,中断
585,绵阳市三台县水塔倒塌,状态变化,倒塌
586,安县人员受伤,状态变化,受伤
587,成都移动通讯维修,操作,维修
588,有关详情调查了解,感知,调查了解
589,四川省省长蒋巨峰召集省地震局、省军区、省武警总队,操作,召集
590,安排部署相关工作,操作,安排部署
591,成都空军派遣直升机,操作,派遣
592,调查了解震情灾情,感知,调查了解
593,省地震局十二日十五时十五分召开新闻发布会,操作,召开
594,及时将此次地震的震情灾情通报,感知,通报
595,目前四川省地震局组织震后趋势会商工作,操作,组织
596,5月12日重庆市区地震,紧急情况,地震
597,记者街头看到,感知,看到
598,南开中学附近楼房摇晃,动作,摇晃
599,千余市民走街头,移动,走
600,在龙湖花园一带政府机关工作人员走,移动,走
601,一些居民家里的家具倒下,状态变化,倒下
602,新华社西宁11月10日电,声明,电
603,据青海省地震台网测定,操作,测定
604,11月10日9时22分青海省海西蒙古族藏族自治州大柴旦地区地震,紧急情况,地震
605,西宁市、格尔木市等地震感,紧急情况,震感
606,格尔木市委有关负责人罗正刚告诉记者,声明,告诉
607,格尔木市区震感,紧急情况,震感
608,市民跑建筑物,移动,跑
609,青海省地震局工作人员介绍,声明,介绍
610,地震造成的损失调查,操作,调查
611,中新网昆明1月28日电,声明,电
612,云南省西双版纳傣族自治州委宣传部证实,声明,证实
613,28日20时01分该州景洪市地震,紧急情况,地震
614,西双版纳州委宣传部副部长段金华说,声明,说
615,四川汶川地震,紧急情况,地震
616,甘肃中东部地区有感,紧急情况,有感
617,庆阳市宁县中村乡一位农民说,声明,说
618,群众离家空旷处,移动,离家
619,很多群众离家大街上,移动,离家
620,甘肃省地震局了解情况,感知,了解
621,中国网9月3日报道,声明,报道
622,截至9月3日8时四川攀枝花仁和区和凉山州会理县交界处地震,紧急情况,地震
623,已造成38人死亡,状态变化,死亡
624,北京时间2008年8月30日16时30分四川省攀枝花市仁和区与凉山彝族自治州会理县交界地区地震,紧急情况,地震
625,四川省攀枝花市凉山州云南省楚雄州昆明市震感,紧急情况,震感
626,截至9月3日8时地震,紧急情况,地震
627,982人受伤,状态变化,受伤
628,四川省凉山彝族自治州会理县死亡27人,状态变化,死亡
629,攀枝花市死亡5人,状态变化,死亡
630,云南省楚雄彝族自治州元谋县永仁县死亡5人1人,状态变化,死亡
631,四川省攀枝花市东区西区仁和区米易县盐边县凉山彝族自治州会理县云南省楚雄彝族自治州元谋县永仁县武定县受灾,状态变化,受灾
632,楚雄州大姚县牟定县昆明市禄劝县丽江市华坪县破坏,状态变化,破坏
633,5月12日14时28分四川地震,紧急情况,地震
634,15时50分记者连线姚先生,动作,连线
635,姚先生当时成都市武侯区的办公室打电话,动作,打电话
636,电脑显示器晃,动作,晃
637,抓起手机钱包,动作,抓起
638,手里还拿无绳电话子机,动作,拿
639,准备给远在江苏的家人打电话,动作,打电话
640,坐在他旁边的女同事感觉,感知,感觉
641,据姚先生介绍,声明,介绍
642,成都市很多钢结构的房屋震感,紧急情况,震感
643,当他很多市民疏散室外,操作,疏散
644,"疏散出来的人群中,大家谈论",动作,谈论
645,姚先生新民网记者称,感知,称
646,据一些成都市民说,感知,说
647,成都的伊藤洋华堂武侯店倒塌,状态变化,倒塌
648,中新网乌鲁木齐5月1日电,声明,电
649,中国地震台网测定,操作,测定
650,4月30日14时20分新疆哈密地区哈密市地震,紧急情况,地震
651,哈密市地震局和巴里坤地震台派工作人员,动作,派
652,1日新疆地震局震害防御处处长王坚告诉记者,声明,告诉
653,当日9时40分许接到哈密、巴里坤两地地震局台工作人员电话报告称,动作,接到
654,他们赶到离震中约20公里的地方,移动,赶到
655,山前石头滚落,动作,滚落
656,伊吾县政府负责人表示,声明,表示
657,离震中最近的水库发现任何问题,操作,发现
658,1日地震局工作人员距震中较近的自然村核查灾情,操作,核查
659,新华社莫斯科10月11日电,声明,电
660,俄罗斯南方5个地区11日地震,紧急情况,地震
661,已造成12人死亡,状态变化,死亡
662,该共和国12人死亡,状态变化,死亡
663,当地医院接收伤员105人,动作,接收
664,该地区部分医院超市民房倒塌,状态变化,倒塌
665,山区多条道路损毁,状态变化,损毁
666,位于俄南部的达吉斯坦车臣印古什北奥塞梯共和国斯塔夫罗波尔边疆区当日地震,紧急情况,地震
667,中新网西宁2月22日电,声明,电
668,记者刚刚青海省地震局获悉,感知,获悉
669,甘肃省天祝县地震,紧急情况,地震
670,2月22日12时56分甘肃省武威市天祝藏族自治县地震,紧急情况,地震
671,记者青海省政府应急办了解,感知,了解
672,截至目前收报告,动作,收
673,6月5日15时57分我省渑池县果园乡附近地震,紧急情况,地震
674,3分钟后义煤集团公司千秋煤矿冲击地压,紧急情况,冲击地压
675,造成750米--850米处巷道被损,状态变化,被损
676,正在该段修理巷道的20名矿工困井下,状态变化,困
677,义煤集团公司成立抢险救灾领导小组,操作,成立
678,紧急启动应急救援预案,操作,启动
679,实施抢险救援,操作,实施
680,河南省委、省政府重视,状态变化,重视
681,省委书记徐光春郭庚茂批示,声明,批示
682,要求组织力量全力抢救被困人员,操作,抢救
683,副省长史济春领导赶赴现场,移动,赶赴
684,指导救援工作,动作,指导
685,看望获救矿工,操作,看望
686,截至6月6日4时9人死亡,状态变化,死亡
687,获救矿工医院治疗,操作,治疗
688,千秋煤矿投产50年,操作,投产
689,中新社拉萨六月三十日电,声明,电
690,记者今日上午了解,感知,了解
691,二十九日晚西藏班戈县地震,紧急情况,地震
692,"此前,西藏地震局抗震设防情况了解",感知,了解
693,北京时间六月二十九日二十时四十七分西藏班戈县地震,紧急情况,地震
694,据西藏地震局办公室一负责官员介绍,声明,介绍
695,他们了解情况,感知,了解
696,五月中旬西藏地震局学校医院部分企业调查,操作,调查
697,并向自治区报告,声明,报告
698,目前西藏全区调查,操作,调查
699,同时向边远地区救援队伍配备救援设备,操作,配备
700,据山东省地震台网测定,操作,测定
701,1月7日22时24分我省乳山市地震,紧急情况,地震
702,截止23时30分接到报告,动作,接到
703,地震专家认为,感知,认为
704,1月7日22时24分乳山市地震,紧急情况,地震
705,大众网记者山东省地震局了解,感知,了解
706,山东省地震局启动预案,操作,启动
707,同时派出副局长林金狮带领的9人现场工作队,动作,派出
708,第一时间赶赴震区,移动,赶赴
709,威海烟台青岛市派出现场工作队,动作,派出
710,城市晚报四平讯,声明,讯
711,3月29日早位于四平市铁东区南一纬与南二纬路之间南八经街的一家水暖器材商店火灾,紧急情况,火灾
712,消防官兵到达现场,移动,到达
713,成功救出四名被困人员,操作,救出
714,记者赶到现场,移动,赶到
715,明火消防官兵扑灭,状态变化,扑灭
716,一位消防战士专业器具破拆二楼窗户上防盗网,操作,破拆
717,消防战士屋内小女孩救出,操作,救出
718,一对老年夫妇和一名中年男子从消防二节拉梯上逃,动作,逃
719,今天上午8点43分租住在市区接官亭小区蔡女士准备出门上班,动作,准备出门上班
720,突然家中浴室阵阵浓烟,紧急情况,阵阵浓烟
721,现代快报快讯,声明,快讯
722,现代快报马晶晶现场听到三声爆炸,感知,听到
723,兴隆大街一小作坊火灾,紧急情况,火灾
724,"虽然救火队来了很多,但是由于堵塞加上消防通道缺失,使得火势控制",操作,控制
725,里面隐隐还有鞭炮声传出,移动,传出
726,11时26分建邺区兴隆大街80号一民房失火,紧急情况,失火
727,消防部门接警,动作,接警
728,立即调集兴隆、特一、汉中门共3个消防中队,操作,调集
729,目前现场明火扑灭,操作,扑灭
730,消防官兵清理,操作,清理
731,3月27日晚上10点至3月28日凌晨2点鄂尔多斯市达拉特旗树林召镇210国道35公里周边村庄一村民家蔬菜大棚大火,紧急情况,大火
732,14家村民家草垛起火,紧急情况,起火
733,消防指挥员在前往火灾现场的途中电话指导报警人,感知,指导
734,先对火势控制,操作,控制
735,抵达火灾现场,移动,抵达
736,"只见浓烟滚滚,一片火海",感知,见
737,指挥员指挥消防官兵,感知,指挥
738,10点半左右达旗新能能源企业消防队派出2辆消防车,动作,派出
739,3月28日凌晨2点火灾扑救,操作,扑救
740,广西新闻网象州讯,声明,讯
741,7月24日清晨象州县城建新路与朝阳路交叉路口的一超市大火,紧急情况,大火
742,象州县消防、公安、交警、武警中队等部门近百余人赶赴现场,移动,赶赴
743,经过2个多小时扑救,操作,扑救
744,最终将大火扑灭,动作,扑灭
745,价值140余万元的商品大火吞噬,动作,吞噬
746,当日清晨6时05分象州县消防大队象州县公安局110指挥中心报警调度,操作,报警调度
747,迅速出动20名消防官兵2辆消防车,操作,出动
748,超市内部一片火海,紧急情况,一片火海
749,凶猛的大火超市周围的民房和店铺蔓延,移动,蔓延
750,一组消防官兵两支水枪灭火,操作,灭火
751,另一组消防官兵民警超市东南两面设立警戒线,操作,设立
752,禁止围观群众进入或靠近,移动,进入或靠近
753,同时消防官兵与公安局民警群众疏散,操作,疏散
754,上午8时05分许救援,操作,救援
755,该超市火势压制,操作,压制
756,消防官兵深入超市内部,移动,深入
757,彻底消灭余火,状态变化,消灭
758,8时30分许超市火灾扑灭,状态变化,扑灭
759,造成火灾事故的原因调查,操作,调查
760,中新网5月4日电,声明,电
761,近日瑞典东海岸一所仓库大火,紧急情况,大火
762,仓库内鲱鱼罐头爆炸,状态变化,爆炸
763,被炸飞出仓库,移动,飞出
764,仓库内四名管理员休息,操作,休息
765,迅速逃离现场,移动,逃离
766,昨日7时许东莞万江新村卢屋工业区的一家纸品厂大火,紧急情况,大火
767,浓烟周围十余公里外见到,感知,见到
768,消防部门出动8辆消防车,动作,出动
769,共派出33名指战员,动作,派出
770,最终于上午10时许火情控制,操作,控制
771,所幸大火没有造成人员伤亡,状态变化,伤亡
772,昨日上午9时许记者赶往现场,移动,赶往
773,在南城与万江的交界处看见滚滚浓烟,感知,看见
774,7点不到我听到,感知,听到
775,原来纸厂起火,紧急情况,起火
776,起火纸品厂附近居民徐先生说,声明,说
777,当时浓烟周围天空笼罩,动作,笼罩
778,记者现场了解,感知,了解
779,大火早晨7点多钟,紧急情况,大火
780,9时30分许看见,感知,看见
781,仓库内明火燃烧,紧急情况,燃烧
782,现场一位指挥灭火工作的相关负责人称,声明,称
783,可能是雷电击坏电表或其他设备,状态变化,击坏
784,具体原因调查,操作,调查
785,同时记者了解,感知,了解
786,因此大火幸未造成人员伤亡,状态变化,伤亡
787,直至昨日下午1时许记者离开起火现场,动作,离开
788,新华网昆明4月30日电,声明,电
789,1120名专业扑火队员16个小时扑救,操作,扑救
790,发生在大理市下关镇温泉村委会南面山坡森林火灾,紧急情况,森林火灾
791,明火30日8时10分扑灭,操作,扑灭
792,森防部门调派直升机,操作,调派
793,参加余火清理,操作,清理
794,29日15时50分大理市下关镇温泉村委会南面山坡森林火灾,紧急情况,森林火灾
795,大理市森林公安局调查,感知,调查
796,2014年1月11日凌晨1时27分云南迪庆藏族自治州州府香格里拉县的独克宗古城大火,紧急情况,大火
797,起火原因查明,操作,查明
798,为客栈管理者用火不慎,操作,用火
